index ,smarts,smiles,ionization_center_id,acid_or_base,,
36,"[c:0]-[NX3:1](-[H:2])-[C,n:3]",CN[N],2,A ,,
37,[NX3:0]-[OX2:1]-[H:2],*N(*)O,2,A,,
38,[SX4:0](=[O:1])(=[O:2])-[NX3:3]-[ H:4],*NS(*)(=O)=O,4,A ,,
39,[NX2:0]-[NX2:1]=[C:2]-[NX3:3]-[H :4],*NC=NN*,4,A ,,
40,[C:0]-[NX3:1](-[H:2])-[C:3](=[SX1: 4]),C[N]C=S,2,A ,,
41,[C:0](-[C:1])(-[C:2])=[NX2:3]-[H:4],CC(C)=N,4,A ,,
42,[C:0]=[NX2:1]-[NX3:2](-[H:3])-[c:4 ],C=NNC,3,A ,,
43,"[C:0]-[C:1](-[C,O:2])=[NX2:3]-[H:4]",CC(=N)O,4,A ,,
43,"[C:0]-[C:1](-[C,O:2])=[NX2:3]-[H:4]",CC(=N)C,4,A ,,
44,[cX3;r6:0]-[NX3:1]-[H:2],*NC(*)(*)CCCCCC,2,A ,,
45,[C:0](=[O:1])-[C:2](-[H:3])(-[C:4])-[ C:5](=[O:6]),CC(C=O)C=O,3,A ,,
46,[PX4:0](=[O:1])(=[O:2])-[O:3]-[H:4],O=P(=O)O,4,A ,,
47,[C:0](-[H:1])(-[C:2]=[O:3])-[C:4]=[ O:5],O=CCC=O,1,A ,,
48,"[C:0](=[S,O:1])-[NX3:2]-[H:3]",[NH]C=S,3,A ,,
48,"[C:0](=[S,O:1])-[NX3:2]-[H:3]",[NH]C=O,3,A ,,
49,[S:0]-[S:1](=[O:2])(=[O:3])-[O:4]-[H :5],O=S(=O)(O)S,5,A ,,
50,[C:0]=[N:1]-[O:2]-[H:3],C=NO,3,A ,,
51,[C:0](-[N:1])(=[N:2])-[N:3](-[C:4])-[ H:5],CNC([N])=[N],5,A ,,
52,[NX2H0;r6:0]=[C;r6:1]-[C;r6:2](-[H: 3])-[C:4]#[N:5],*N=CCC#N,3,A ,,
53,[C:0]=[NX2:1]-[H:2],C=N,2,A ,,
54,"[c,C:0]-[C:1](=[OX1:2])-[C:3]=[C:4] -[NX3:5]-[H:6]",*NC=CC(C)=O,6,A ,,
55,[N:0]-[C:1](-[N:2])=[NX2:3]-[H:4],N=C(N)N,3,B,,
56,[C:0](-[N:1])=[NX2+0:2]-[H:3],[N]C=N,2,B,,
57,[c:0]-[NX3+0:1]([H:2])[H:3],CN,1,B,,
58,[c:0]-[NX3+0:1]([H:2])[!H:3],*NC,1,B,,
59,[c:0]-[NX3+1:1]([!H:2])([!H:3])-[H: 4],*[NH+](*)C,1,B,,
60,[n+1&H1:0],[NH+],0,B,,
61,[C:0]-[NX4+1:1]-[H:2],*[NH+](*)C,1,B,,
62,"[C,c:0]-[O:1]-[NH2:2]",CON,2,B,,
